Id,Label,timeset,modularity_class,pageranks,componentnumber,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree
SatAppsCatapult,SatAppsCatapult,,4,0.000068,3,0,1,1,0,1,1
JoeMaudsley,JoeMaudsley,,0,0.000039,706,0,0,0,0,0,0
Captify,Captify,,0,0.000138,706,0,0,0,0,0,0
veroc840,veroc840,,0,0.000039,707,0,0,0,0,0,0
BMS_Billy,BMS_Billy,,0,0.000138,707,0,0,0,0,0,0
henriquebravo97,henriquebravo97,,1,0.000068,3,0,1,1,0,1,1
DanInRealLife00,DanInRealLife00,,0,0.000039,706,0,0,0,0,0,0
outropatamar27,outropatamar27,,0,0.000039,703,0,0,0,0,0,0
MarleniZambrano,MarleniZambrano,,6,0.000068,3,0,1,1,0,1,1
calderwood_ross,calderwood_ross,,0,0.000068,3,0,1,1,0,1,1
Flailaxe,Flailaxe,,0,0.000039,51,0,0,0,0,0,0
alone73x1,alone73x1,,0,0.000039,202,0,0,0,0,0,0
judeanneRad,judeanneRad,,7,0.000068,3,0,1,1,0,1,1
Weverto17206378,Weverto17206378,,1,0.000068,3,0,1,1,0,1,1
jebscc,jebscc,,0,0.000039,708,0,0,0,0,0,0
bobbylite720,bobbylite720,,0,0.000072,708,0,0,0,0,0,0
Punked_SA,Punked_SA,,7,0.000068,3,0,1,1,0,3,3
LtdLynk,LtdLynk,,0,0.000039,709,0,0,0,0,0,0
TurenFA_,TurenFA_,,4,0.000068,3,0,1,1,0,1,1
liuliww,liuliww,,0,0.000039,710,0,0,0,0,0,0
trustineightbny,trustineightbny,,0,0.000236,710,0,0,0,0,0,0
TeqballOnTour,TeqballOnTour,,0,0.000039,711,0,0,0,0,0,0
renanpantoja22,renanpantoja22,,1,0.000068,3,0,1,1,0,1,1
orgulhodeserRN,orgulhodeserRN,,1,0.000068,3,0,1,1,0,1,1
ModernRetailUK,ModernRetailUK,,0,0.000039,712,0,0,0,0,0,0
PHL_LTD,PHL_LTD,,0,0.000072,712,0,0,0,0,0,0
guilhermenoia23,guilhermenoia23,,1,0.000068,3,0,1,1,0,1,1
leone52641,leone52641,,0,0.000039,444,0,0,0,0,0,0
erikavalle,erikavalle,,0,0.000039,713,0,0,0,0,0,0
BandJornalismo,BandJornalismo,,0,0.000072,713,0,0,0,0,0,0
unica_soniavt,unica_soniavt,,0,0.000039,714,0,0,0,0,0,0
periodistaAM,periodistaAM,,0,0.000072,714,0,0,0,0,0,0
VitorinhaM6,VitorinhaM6,,1,0.000068,3,0,1,1,0,1,1
owesleyh,owesleyh,,1,0.000068,3,0,1,1,0,1,1
OKIKOLOKO,OKIKOLOKO,,1,0.000258,3,5,0,5,5,0,5
Belleviedechat,Belleviedechat,,0,0.000039,715,0,0,0,0,0,0
catspadofficial,catspadofficial,,0,0.000105,715,0,0,0,0,0,0
Hikingman57,Hikingman57,,0,0.000039,716,0,0,0,0,0,0
HikingAndNature,HikingAndNature,,0,0.000138,716,0,0,0,0,0,0
Re_Sterblitch,Re_Sterblitch,,1,0.000068,3,0,1,1,0,1,1
Twonjex,Twonjex,,0,0.000039,717,0,0,0,0,0,0
SolomeBasuuta,SolomeBasuuta,,0,0.000072,717,0,0,0,0,0,0
recycle4gm,recycle4gm,,0,0.000039,718,0,0,0,0,0,0
OLIO_ex,OLIO_ex,,0,0.000171,718,0,0,0,0,0,0
Ryoafterx,Ryoafterx,,1,0.000068,3,0,1,1,0,1,1
WMPhD,WMPhD,,0,0.000039,719,0,0,0,0,0,0
oneworldnl,oneworldnl,,0,0.000138,719,0,0,0,0,0,0
